MemberID,PlayerName,Handicap,JoinYear
1001,Player 1001,6,2024
1002,Player 1002,19,2024
1003,Player 1003,14,2024
1004,Player 1004,10,2024
1005,Player 1005,7,2024
1006,Player 1006,20,2023
1007,Player 1007,6,2022
1008,Player 1008,25,2024
1009,Player 1009,18,2021
1010,Player 1010,22,2021
1011,Player 1011,10,2021
1012,Player 1012,10,2021
1013,Player 1013,23,2023
1014,Player 1014,20,2021
1015,Player 1015,3,2024
1016,Player 1016,7,2025
1017,Player 1017,23,2021
1018,Player 1018,2,2023
1019,Player 1019,21,2023
1020,Player 1020,20,2021
1021,Player 1021,1,2025
1022,Player 1022,23,2021
1023,Player 1023,11,2023
1024,Player 1024,5,2022
1025,Player 1025,1,2024
1026,Player 1026,27,2023
1027,Player 1027,20,2021
1028,Player 1028,0,2024
1029,Player 1029,11,2021
1030,Player 1030,25,2021
1031,Player 1031,21,2022
1032,Player 1032,11,2024
1033,Player 1033,24,2024
1034,Player 1034,16,2022
1035,Player 1035,26,2023
1036,Player 1036,26,2021
1037,Player 1037,9,2025
1038,Player 1038,27,2021
1039,Player 1039,27,2021
1040,Player 1040,15,2023
1041,Player 1041,14,2021
1042,Player 1042,14,2022
1043,Player 1043,18,2022
1044,Player 1044,11,2024
1045,Player 1045,22,2025
1046,Player 1046,19,2021
1047,Player 1047,24,2021
1048,Player 1048,2,2023
1049,Player 1049,4,2022
1050,Player 1050,18,2025
1051,Player 1051,6,2024
1052,Player 1052,20,2022
1053,Player 1053,8,2024
1054,Player 1054,6,2023
1055,Player 1055,17,2023
1056,Player 1056,3,2021
1057,Player 1057,24,2025
1058,Player 1058,27,2024
1059,Player 1059,13,2022
1060,Player 1060,17,2023
1061,Player 1061,25,2021
1062,Player 1062,8,2021
1063,Player 1063,25,2024
1064,Player 1064,20,2023
1065,Player 1065,1,2025
1066,Player 1066,19,2023
1067,Player 1067,27,2024
1068,Player 1068,14,2024
1069,Player 1069,27,2023
1070,Player 1070,6,2024
1071,Player 1071,11,2023
1072,Player 1072,7,2022
1073,Player 1073,14,2023
1074,Player 1074,2,2023
1075,Player 1075,13,2024
1076,Player 1076,16,2024
1077,Player 1077,3,2021
1078,Player 1078,17,2021
1079,Player 1079,7,2022
1080,Player 1080,3,2021
1081,Player 1081,1,2023
1082,Player 1082,5,2024
1083,Player 1083,21,2021
1084,Player 1084,9,2021
1085,Player 1085,3,2022
1086,Player 1086,21,2022
1087,Player 1087,17,2023
1088,Player 1088,25,2024
1089,Player 1089,11,2022
1090,Player 1090,1,2021
1091,Player 1091,9,2024
1092,Player 1092,3,2024
1093,Player 1093,13,2021
1094,Player 1094,15,2022
1095,Player 1095,14,2021
1096,Player 1096,7,2024
1097,Player 1097,13,2025
1098,Player 1098,22,2025
1099,Player 1099,27,2023
1100,Player 1100,24,2021
1101,Player 1101,7,2021
1102,Player 1102,20,2023
1103,Player 1103,15,2023
1104,Player 1104,12,2023
1105,Player 1105,17,2024
1106,Player 1106,14,2021
1107,Player 1107,20,2024
1108,Player 1108,23,2023
1109,Player 1109,25,2021
1110,Player 1110,24,2024
1111,Player 1111,27,2024
1112,Player 1112,27,2023
1113,Player 1113,27,2021
1114,Player 1114,12,2023
1115,Player 1115,8,2021
1116,Player 1116,14,2025
1117,Player 1117,12,2022
1118,Player 1118,0,2022
1119,Player 1119,24,2022
1120,Player 1120,6,2023
1121,Player 1121,8,2025
1122,Player 1122,23,2021
1123,Player 1123,0,2024
1124,Player 1124,11,2021
1125,Player 1125,7,2024
1126,Player 1126,23,2021
1127,Player 1127,10,2025
1128,Player 1128,18,2024
1129,Player 1129,16,2023
1130,Player 1130,7,2021
1131,Player 1131,2,2021
1132,Player 1132,2,2024
1133,Player 1133,0,2023
1134,Player 1134,26,2023
1135,Player 1135,4,2025
1136,Player 1136,9,2023
1137,Player 1137,6,2023
1138,Player 1138,25,2023
1139,Player 1139,8,2022
1140,Player 1140,27,2025
1141,Player 1141,6,2021
1142,Player 1142,8,2024
1143,Player 1143,7,2021
1144,Player 1144,11,2025
1145,Player 1145,1,2024
1146,Player 1146,0,2025
1147,Player 1147,15,2023
1148,Player 1148,22,2024
1149,Player 1149,22,2023
1150,Player 1150,23,2021
1151,Player 1151,4,2021
1152,Player 1152,2,2024
1153,Player 1153,11,2024
1154,Player 1154,7,2025
1155,Player 1155,21,2025
1156,Player 1156,26,2023
1157,Player 1157,2,2024
1158,Player 1158,0,2021
1159,Player 1159,2,2025
1160,Player 1160,4,2025
1161,Player 1161,14,2021
1162,Player 1162,13,2025
1163,Player 1163,2,2023
1164,Player 1164,0,2024
1165,Player 1165,4,2021
1166,Player 1166,25,2024
1167,Player 1167,22,2025
1168,Player 1168,13,2025
1169,Player 1169,6,2021
1170,Player 1170,26,2023
1171,Player 1171,8,2022
1172,Player 1172,14,2021
1173,Player 1173,14,2022
1174,Player 1174,25,2022
1175,Player 1175,9,2023
1176,Player 1176,27,2022
1177,Player 1177,12,2022
1178,Player 1178,18,2023
1179,Player 1179,6,2022
1180,Player 1180,16,2022
1181,Player 1181,19,2022
1182,Player 1182,3,2021
1183,Player 1183,4,2021
1184,Player 1184,22,2021
1185,Player 1185,6,2023
1186,Player 1186,12,2025
1187,Player 1187,14,2022
1188,Player 1188,10,2022
1189,Player 1189,3,2023
1190,Player 1190,12,2022
1191,Player 1191,6,2021
1192,Player 1192,26,2025
1193,Player 1193,18,2024
1194,Player 1194,21,2022
1195,Player 1195,27,2021
1196,Player 1196,1,2024
1197,Player 1197,9,2025
1198,Player 1198,12,2024
1199,Player 1199,24,2021
1200,Player 1200,20,2024
